movie_id,language
25789453,韩语
26011893,汉语普通话
10764850,英语
25869868,汉语普通话
25799040,日语
25750671,英语
3095502,葡萄牙语
25824753,韩语
3073287,英语
25957030,法语
25957030,日语
25957030,英语
26590070,汉语普通话
25875209,英语
25931245,日语
26417423,英语
25908941,英语
25740966,捷克语
24845637,汉语普通话
10526498,法语
25777784,日语
25905773,泰语
24753439,法语
25881067,汉语普通话
25810966,英语
10755525,英语
24639908,法语
26317346,汉语普通话
26176503,英语
26228762,西班牙语
25882861,俄语
25776178,英语
25934361,德语
25861681,日语
25730893,英语
24877015,英语
11600988,英语
25739366,英语
25821620,日语
25870091,英语
26423179,英语
25823469,英语
25932073,汉语普通话
25932073,粤语
25749515,英语
26348959,汉语普通话
20271845,法语
25911449,格鲁吉亚语
25911449,阿布哈兹语
25911449,俄语
22419013,日语
25705507,波兰语
26235707,韩语
19929592,无对白
19929592,手语
26201173,土耳其语
22419433,日语
25833539,英语
24711890,英语
26277313,汉语普通话
26277313,粤语
25841241,日语
25741337,韩语
25785061,英语
20379462,英语
20379462,西班牙语
25821380,英语
25975912,韩语
11624706,英语
24851526,汉语普通话
24851526,日语
10755160,英语
25890078,韩语
26312967,汉语普通话
21794463,英语
21794463,丹麦语 Danish
21794463,瑞典语  Swedish
25862325,法语
26297389,韩语
3338862,英语
5997157,英语
26272363,英语
25767612,韩语
26373522,英语
25724870,粤语
25724870,汉语普通话
25863669,英语
25875037,韩语
21361076,英语
25800699,英语
25743024,英语
24718802,法语
24718802,阿拉伯语 Arabic
24704130,英语
20496674,英语
25806461,韩语
25851668,韩语
24705685,英语
25790164,日语
25814628,德语
21937456,日语
10776641,英语
25967329,印地语
25896101,英语
25903812,韩语
25917236,法语
24757324,英语
19962556,法语
25687245,希伯来语
25899439,粤语
26088329,英语
25845399,日语
23011206,匈牙利语
23011206,英语
5152973,英语
25795793,德语
20388696,英语
3006306,英语
25853729,日语
26012018,汉语普通话
25886495,粤语
25795311,日语
26200413,波兰语
25826239,英语
26012598,英语
26304164,汉语普通话
26304162,汉语普通话
26304161,汉语普通话
25765830,英语
25728003,日语
25911450,捷克语
26304160,汉语普通话
26304159,汉语普通话
26281899,英语
25941964,英语
25812731,日语
25803933,阿拉伯语
25803933,英语
25803933,法语
25809902,法语
25767565,韩语
