id,title,url,cover,rate,showtime,length,othername
1297233,心之全蚀,http://movie.douban.com/subject/1297233/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p886845671.jpg,8.1,1995.0,111.0,"['全蚀狂爱', 'Eclipse totale', ""Poeti dall'inferno""]"
1297710,天若有情,http://movie.douban.com/subject/1297710/,http://img4.douban.com/lpic/s1429766.jpg,7.9,1990.0,87.0,"['追梦人', '天若有情1', 'If Sky Have Love', 'A Moment of Romance', 'Tian ruo you qing']"
24470523,魔力月光,http://movie.douban.com/subject/24470523/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p2188188228.jpg,7.0,2014.0,97.0,"['情迷月色下(港)', '魔幻月光(台)', '月夜魔法', '月光下的魔法']"
1467044,魔术师,http://movie.douban.com/subject/1467044/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p479740314.jpg,7.6,2006.0,110.0,"['魔幻至尊(台)', '幻术师', '神秘魔术师', '幻影师']"
1295899,二见钟情,http://movie.douban.com/subject/1295899/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p863459595.jpg,7.7,1995.0,103.0,"['暗恋你暗恋你(港)', '再见钟情', '在你沉睡时']"
10562987,美女与野兽,http://movie.douban.com/subject/10562987/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p2199308961.jpg,6.3,2014.0,112.0,['Beauty and the Beast']
1299374,我左眼见到鬼,http://movie.douban.com/subject/1299374/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p482190538.jpg,6.9,2002.0,98.0,['My Left Eye Sees Ghosts']
1779632,真爱无价,http://movie.douban.com/subject/1779632/,http://img3.douban.com/lpic/s3995475.jpg,7.1,2006.0,106.0,"['巴黎拜金女', '珠光宝戏', '无价的女人', '奢华之外', 'Priceless']"
3173556,熟男，我爱你,http://movie.douban.com/subject/3173556/,http://img3.douban.com/lpic/s3214745.jpg,7.3,2008.0,108.0,"['请原谅，我爱你', '对不起，我称你为“爱”', '对不起，我叫你亲爱的', 'Sorry, If I Love You', 'Excuse Me If I Call You My Love']"
1293456,莫里斯,http://movie.douban.com/subject/1293456/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1388416057.jpg,8.6,1987.0,140.0,"['莫里斯的情人', '墨利斯的情人', '情难禁', '莫瑞斯']"
1302235,茜茜公主2,http://movie.douban.com/subject/1302235/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p2160427412.jpg,8.5,1956.0,107.0,['The Young Empress']
1305735,曼哈顿女佣,http://movie.douban.com/subject/1305735/,http://img3.douban.com/lpic/s2757744.jpg,6.4,2002.0,105.0,"['曼哈顿灰姑娘', '女佣变凤凰', '五星级恋人']"
1299922,落跑新娘,http://movie.douban.com/subject/1299922/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1080986896.jpg,6.9,1999.0,116.0,"['逃跑的新娘', '走佬俏佳人']"
2052978,双食记,http://movie.douban.com/subject/2052978/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1153248157.jpg,7.0,2008.0,98.0,"['女人有毒', 'Deadly Delicious']"
3645150,开罗时间,http://movie.douban.com/subject/3645150/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p1505408000.jpg,7.9,2009.0,90.0,['开罗时光']
4844903,家庭作业,http://movie.douban.com/subject/4844903/,http://img4.douban.com/lpic/s6328239.jpg,6.9,2011.0,84.0,"['彩绘爱情(台)', '通过技巧', '考试过关的艺术', 'Homework']"
2968813,生人勿进,http://movie.douban.com/subject/2968813/,http://img4.douban.com/lpic/s2876246.jpg,7.7,2008.0,115.0,"['生人勿近', '血色入侵', '鬼小无猜', '正义必胜', '血色童话', 'Let the Right One in', 'Let Me in']"
1292577,安娜·卡列尼娜,http://movie.douban.com/subject/1292577/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p452625577.jpg,7.4,1997.0,108.0,"['浮世一生情', '爱比恋更冷']"
1293799,壮志凌云,http://movie.douban.com/subject/1293799/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p1871745733.jpg,7.6,1986.0,110.0,"['捍卫战士(台)', '壮志凌云 3D']"
3149087,爱情的牙齿,http://movie.douban.com/subject/3149087/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p1510158030.jpg,7.7,2007.0,109.0,['Teeth of Love']
1929461,只要在一起,http://movie.douban.com/subject/1929461/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1849794439.jpg,7.7,2007.0,97.0,"['巴黎夜未眠', '在一起就好', '爱·住·巴黎', 'Hunting and Gathering']"
1293596,离开拉斯维加斯,http://movie.douban.com/subject/1293596/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p860190615.jpg,8.1,1995.0,111.0,"['远离赌城(台)', '两颗绝望的心', '远离拉斯维加斯', '逃离拉斯维加斯']"
10733558,想爱就爱2,http://movie.douban.com/subject/10733558/,http://img3.douban.com/lpic/s9089675.jpg,6.2,2012.0,105.0,"['是否敢爱2', ""Not Love, Don't Block the Heart"", 'Yes or No2']"
4023725,夏天协奏曲,http://movie.douban.com/subject/4023725/,http://img4.douban.com/lpic/s4037996.jpg,6.8,2009.0,96.0,['Summer Times']
19963896,爱神,http://movie.douban.com/subject/19963896/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p1881971264.jpg,6.5,2013.0,98.0,"['爱神来了', 'Fall in love']"
20378794,回到爱开始的地方,http://movie.douban.com/subject/20378794/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p2082733607.jpg,6.3,2013.0,94.0,"['爱的季节', 'A Moment of Love']"
1306213,初恋的回忆,http://movie.douban.com/subject/1306213/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1077544279.jpg,7.6,2002.0,101.0,"['青涩年代', '流星初恋', '漫步回忆', '留住一片情', 'Un amor para recordar']"
1473297,四角关系,http://movie.douban.com/subject/1473297/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p2180064816.jpg,7.4,2005.0,94.0,['新娘向后跑']
1310174,20 30 40,http://movie.douban.com/subject/1310174/,http://img3.douban.com/lpic/s2573745.jpg,7.2,2004.0,113.0,
1300082,古今大战秦俑情,http://movie.douban.com/subject/1300082/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p1747037939.jpg,6.7,1990.0,145.0,"['秦俑', 'A Terracotta Warrior']"
1309080,谜情公寓,http://movie.douban.com/subject/1309080/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p452586025.jpg,7.6,2004.0,114.0,"['柳条公园', '爱寻迷', '第三者']"
1307781,大城小事,http://movie.douban.com/subject/1307781/,http://img4.douban.com/lpic/s1738457.jpg,6.3,2004.0,94.0,"['Leaving Me, Loving You']"
1308288,我爱你,http://movie.douban.com/subject/1308288/,http://img4.douban.com/view/movie_poster_cover/lpst/public/p486563269.jpg,7.1,2003.0,97.0,['I Love You']
4237863,一场风花雪月的事,http://movie.douban.com/subject/4237863/,http://img3.douban.com/view/movie_poster_cover/lpst/public/p2069500674.jpg,4.7,2013.0,114.0,"['风花雪月', 'Crimes of Passion']"
1297643,心火,http://movie.douban.com/subject/1297643/,http://img3.douban.com/lpic/s1511872.jpg,8.0,1997.0,103.0,"['Firelight - Le lien secret', 'A la luz del fuego']"
