movie_id,region
20253940,United Kingdom_英国
26356495,Russia_俄罗斯
26356495,Ukraine_乌克兰
22994771,China_中国大陆
25767613,South Korea_韩国
25824853,China_香港
25824853,China_中国大陆
4845723,Spain_西班牙
25892603,Spain_西班牙
25742242,China_中国大陆
25856626,South Korea_韩国
25790755,South Korea_韩国
24723061,China_中国大陆
25834457,South Korea_韩国
25827399,United States of America_美国
4154632,China_中国大陆
25880244,China_中国大陆
25834473,China_中国大陆
25831308,China_中国大陆
25984795,South Korea_韩国
25750177,Japan_日本
26378296,South Korea_韩国
26382849,China_中国大陆
26382849,China_台湾
3317370,United States of America_美国
25824741,China_香港
25824741,China_中国大陆
26220731,China_中国大陆
24742719,United States of America_美国
25835306,United States of America_美国
25743833,China_台湾
25743833,China_中国大陆
25723095,South Korea_韩国
26087473,Japan_日本
24843623,South Korea_韩国
24530939,United States of America_美国
25836152,Japan_日本
25820655,Japan_日本
7059561,United States of America_美国
7059561,Brazil_巴西
26274132,Japan_日本
24695277,China_中国大陆
24695277,China_香港
25444447,China_中国大陆
25444447,China_香港
25444447,United Kingdom_英国
21359619,China_香港
21359619,China_中国大陆
20453001,United Kingdom_英国
24743119,United States of America_美国
6053684,United States of America_美国
6053684,United Kingdom_英国
25913617,United States of America_美国
25812885,United States of America_美国
25958197,United States of America_美国
19897541,Japan_日本
22508259,United States of America_美国
2147872,United States of America_美国
25870671,Japan_日本
10577854,United States of America_美国
25749871,Australia_澳大利亚
25749871,United States of America_美国
25749871,Turkey_土耳其
26356473,United States of America_美国
25870679,South Korea_韩国
20278806,United States of America_美国
10756517,United Kingdom_英国
6873819,Spain_西班牙
6873819,Bulgaria_保加利亚
25766663,Japan_日本
3112738,United States of America_美国
3112738,Czech Republic_捷克
25721544,United States of America_美国
24882719,United States of America_美国
6873740,United States of America_美国
26036657,Italy_意大利
25827270,South Korea_韩国
26263504,Thailand_泰国
25920098,Canada_加拿大
25709273,China_中国大陆
25709273,China_台湾
25709273,China_香港
26258872,United States of America_美国
25757780,United States of America_美国
3012031,United States of America_美国
25828520,South Korea_韩国
25949984,Japan_日本
